人間 ;human (ningen)
医者 ;doctor (isha)
ひと、人;person (hito)
おとこ、男;male (otoko)
おとこのひと、男の人;man (otokonohito)
おとこのこ、男の子;boy (otokonoko)
おんな、女;female (onna)
おんなのひと、女の人;woman (onnanohito)
おんなのこ、女の子;girl (onnanoko)
あかちゃん、赤ちゃん;baby (akachan)
わかもの、若者;youth, young person (wakamono)
わたし、私;I, myself (watashi)
わたくし、私;I, myself (watakushi [most formal])
ぼく、僕;I, myself (boku, mainly used by males)
おれ、俺;I, myself (ore, mainly used by males [informal])
あたし、私;I, myself (atashi, mainly used by females )
しょうじょ、少女;girl (shoujo)
しょうねん、少年;boy (shounen)
いしゃ、医者;doctor (isha)
かんごし、看護師;nurse (kangoshi)
かんごふ、看護婦;female nurse (kangofu)
しかい、歯科医、はいしゃ、歯医者;dentist (shikai, ha-isha)
せいじか、政治家;politician (seijika)
べんごし、弁護士;lawyer (bengoshi)
しょうぼうし、消防士;firefighter (shouboushi)
けいさつかん、警察官;police officer (keisatsukan)
へいし、兵士;soldier (heishi)
けんちくか、建築家;architect (kenchikuka)
せんせい、先生;teacher (sensei)
きょうし、教師;(academic) teacher (kyoushi)
かしゅ、歌手;singer (kashu)
エンジニア;engineer(enjinia)
あし、足、脚;foot, leg (ashi)
かかと、踵;heel (kakato)
すね、脛;shin (sune)
ひざ、膝;knee (hiza)
もも、腿;thigh (momo)
あたま、頭;head (atama)
かお、顔;face (kao)
くち、口;mouth (kuchi)
くちびる、唇;lips (kuchibiru)
は、歯;tooth (ha)
はな、鼻;nose (hana)
め、目;eye (me)
ひげ、髭、鬚、髯;moustache, beard (hige)
かみ、髪;hair (kami)
みみ、耳;ear (mimi)
おなか、御腹;stomach (onaka)
うで、腕;arm (ude)
ひじ、肘;elbow (hiji)
かた、肩;shoulder (kata)
つめ、爪;nail (tsume)
て、手;hand (te)
てくび、手首;wrist (tekubi)
てのひら、掌、手の平;palm of hand (te-no-hira)
ゆび、指;finger, toe (yubi)
しり、尻;buttocks (shiri)
おなか、お腹 （はら、腹）;abdomen (o-naka)
かんぞう、肝臓;liver (kanzō)
きも、肝;liver (kimo)
きんにく、筋肉;muscle (kin'niku)
くび、首;neck (kubi)
こころ、心;heart [as in feelings] (kokoro)
こし、腰;waist, hip (koshi)
しんぞう、心臓;heart (shinzō)
せなか、背中;back (senaka)
ち、血;blood (chi)
にく、肉;meat (niku)
はだ、肌、膚;skin (hada)
ひふ、皮膚;skin (hifu)
ほね、骨;bone (hone)
むね、胸;chest (mune)
かぜ、風邪;cold [illness] (kaze)
げり、下痢;diarrhea (geri)
びょうき、病気;illness (byōki)
かぞく、家族;family (kazoku)
りょうしん、両親;parents (ryoushin)
こども、子供;children, child (kodomo)
ちち、父;father (chichi)("otou-san")
はは、母;mother (haha)("okaa-san")
つま、妻;wife (tsuma)
おっと、夫;husband (otto)
あに、兄;older brother (ani) (onī-san)
あね、姉;older sister (ane) (onē-san)
おとうと、弟;younger brother (otōto)
いもうと、妹;younger sister (imōto)
きょうだい、兄弟;brothers, siblings (kyōdai)
しまい、姉妹;sisters (shimai)
そふ、祖父;grandfather (sofu) (ojii-san)
そぼ、祖母;grandmother (sobo) (obaa-san)
まご、孫;grandchild (mago)
おじ、伯父、叔父;uncle (oji) (oji-san)
おば、伯母、叔母;aunt (oba) (oba-san)
いとこ、従兄弟、従姉妹、従兄、従弟、従姉、従妹;cousin (itoko)
めい、姪;niece (mei)
おい、甥;nephew (oi)
どうぶつ、動物;animal (dōbutsu)
チーター;cheetah (chītā)
いぬ、犬;dog (inu)
ねこ、猫;cat (neko)
うし、牛;cow (ushi)
ぶた、豚;pig (buta)
うま、馬;horse (uma)
ひつじ、羊;sheep (hitsuji)
さる、猿;monkey (saru)
ねずみ、鼠;mouse, rat (nezumi)
とら、虎;tiger (tora)
オオカミ、狼;wolf (ōkami)
うさぎ、兎;rabbit (usagi)
りゅう、たつ、竜;dragon (ryū, tatsu)
しか、鹿;deer (shika)
かえる、蛙;frog (kaeru)
がま、蟇;toad (gama)
しし、獅子;lion (shishi)
キリン、麒麟;giraffe (kirin)
ぞう、象;elephant (zō)
とり、鳥;bird (tori)
にわとり、鶏;chicken (niwatori)
すずめ、雀;sparrow (suzume)
からす、烏;crow, raven (karasu)
わし、鷲;eagle (washi)
たか、鷹;hawk, falcon (taka)
さかな、魚;fish (sakana)
たい、鯛;red snapper (tai)
えび、海老;shrimp, lobster (ebi)
いわし、鰯;sardine (iwashi)
まぐろ、鮪;tuna (maguro)
かつお、鰹;bonito (katsuo)
さんま、秋刀魚;pike (sanma)
あじ、鰺;horse mackerel (aji)
さば、鯖;mackerel (saba)
イカ、烏賊;squid (ika)
タコ、蛸、章魚;octopus (tako)
むし、虫;insect (mushi)
ちょう、蝶;butterfly (chō)
ガ、蛾;moth (ga)
せみ、蝉;cicada (semi)
トンボ、蜻蛉;dragonfly (tonbo)
バッタ、飛蝗;grasshopper (batta)
クモ、蜘蛛;spider (kumo)
ホタル、蛍;firefly (hotaru)
ハエ、蝿、蠅;housefly (hae)
カ、蚊;mosquito, gnat (ka)
ゴキブリ、蜚蠊;cockroach (gokiburi)
カタツムリ、蝸牛;snail (katatsumuri)
ナメクジ、蛞蝓;slug (namekuji)
ミミズ、蚯蚓;earthworm (mimizu)
かい、貝;shellfish (kai)
かいがら、貝殻;shell (kaigara)
トカゲ、蜥蜴;lizard (tokage)
へび、蛇;snake (hebi)
くま、熊;bear(kuma)
しょくぶつ、植物 - plants (shokubutsu)
くさ、草 - grass (kusa)
はな、花 - flower (hana)
み、実 - fruit (mi)
き、木 - tree (ki)
は、葉 (はっぱ、葉っぱ) - leaf (ha, happa)
ね、根 (ねっこ、根っ子) - root (ne, nekko)
くき、茎 - stem (kuki)
きのこ、茸 - mushroom (kinoko)
きく、菊 - chrysanthemum (kiku)
さくら、桜 - cherry blossom (sakura)
まつ、松 - pine tree (matsu)
うめ、梅 - japanese plum or apricot (ume)
たべもの、食べ物 - food (tabemono)
ちょうしょく、朝食 - breakfast (chōshoku, asagohan)
ひるごはん、昼御飯 - lunch (hirugohan)
ばんごはん、晩御飯 - dinner (bangohan)
ごはん、御飯 - cooked rice or meal (gohan)
みそ、味噌 - miso (miso)
りょうり、料理 - cooking (ryōri)
サラダ - salad (sarada)
デザート - dessert (dezāto)
パン - bread (pan)
サンドイッチ - sandwich (sandoitchi)
おやつ、間食 - snack (oyatsu, kanshoku)
アイスクリーム - ice cream (aisukurīmu)
たこやき、たこ焼き - octopus dumpling (takoyaki)
にちようび、日曜日;Sunday (nichi-yōbi)
げつようび、月曜日;Monday (getsu-yōbi)
かようび、火曜日;Tuesday (ka-yōbi)
すいようび、水曜日;Wednesday (sui-yōbi)
もくようび、木曜日;Thursday (moku-yōbi)
きんようび、金曜日;Friday (kin-yōbi)
どようび、土曜日;Saturday (do-yōbi)
きた、北;north (kita)
ひがし、東;east (higashi)
みなみ、南;south (minami)
にし、西;west (nishi)
ここ;here (koko)
そこ;there (soko)
あそこ;over there (asoko)
みぎ、右;right (migi)
ひだり、左;left (hidari)
うえ、上;above, up (ue)
した、下;below, down (shita)
まえ、前;front (mae)
うしろ、後;behind (ushiro)
むこう、向こう;the other side, opposite side (mukō)
ななめ、斜め;diagonal (naname)
てまえ、手前;nearer, more in front (temae)
とおい、遠い;far (tooi)
ちかい、近い;near, close (chikai)
つくえ、机;desk (tsukue)
いす、椅子;chair, position (isu)
たたみ、畳;a tatami mat (tatami)
と、戸;door, family (to)
とびら、扉;door panel (tobira)
ドア;door (doa)
まど、窓;window (mado)
ふとん、布団;futon (futon)
げんかん、玄関;entrance (genkan)
いえ、家;house, home (ie)
エレベーター;elevator (erebētā)
エスカレーター;escalator (esukarētā)
でんき、電気;electricity (denki)


